ranking_id,edition_year,edition_id,firm_ref,practice_area_id,ranking_tier,tier_rank,ranking_type,post_status,publication_status,listing_type,commentary,modified_ts
V0845,2025,ED2025SE,F0661,PA0084,,4,firm to watch,publish,Active,sponsored,,2024-08-22 06:13:03
R0362,2024,ED2024JP,F0602,PA0514,2,,firm recommended,Publish,Researching,,Highly regarded team,2024-12-04 21:39:12
V0661,2025,ED2025NL,F0552,PA0774,,2,firm recommended,publish,Archive,standard,,2024-10-19 02:19:29
R0257,2024,ED2024HK,F0793,PA0496,4,,firm to watch,Publish,Active,,Leading practice in its field,2024-12-12 10:41:10
V0844,2024,ED2024SG,F0818,PA0858,,5,firm recommended,publish,Archive,standard,,2024-09-09 05:21:57
V0838,2024,ED2024FR,F0828,PA0403,,2,firm to watch,draft,Active,exclusive,Highly regarded team,2024-09-20 16:31:29
R0079,2025,ED2025DE,F0145,PA0081,2,,firm recommended,Publish,Active,,,2024-08-30 01:43:58
V0926,2025,ED2025ES,F0900,PA0260,,2,firm recommended,Publish,Archive,sponsored,Leading practice in its field,2024-08-10 03:43:50
V0641,2024,ED2024SE,F0949,PA0101,,3,firm recommended,publish,Active,,Leading practice in its field,2024-12-23 04:24:38
R0348,2024,ED2024CA,F0171,PA0583,3,,firm recommended,Pending,Researching,,Highly regarded team,2024-08-05 09:52:50
R0443,2024,ED2024SG,F0944,PA0395,1,,firm to watch,Pending,Archive,,Leading practice in its field,2024-11-28 02:44:40
V0954,2025,ED2025US,F0542,PA0699,,3,firm recommended,publish,Researching,standard,Highly regarded team,2024-10-10 16:45:22
R0312,2025,ED2025IE,F0977,PA0592,2,,firm recommended,Pending,Archive,,Noted for complex transactions,2024-09-28 08:49:01
R0224,2024,ED2024DE,F0239,PA0118,3,,firm recommended,Draft,Active,,,2024-11-21 14:29:11
R0470,2024,ED2024HK,F0657,PA0322,4,,firm recommended,Draft,Active,,Noted for complex transactions,2024-09-28 19:49:49
V0761,2024,ED2024IE,F0413,PA0775,,3,firm recommended,publish,Researching,,Leading practice in its field,2024-12-27 20:44:51
V0759,2024,ED2024UAE,F0055,PA0105,,3,firm recommended,draft,Active,standard,Noted for complex transactions,2024-11-26 14:40:58
V0502,2024,ED2024JP,F0932,PA0456,,1,firm recommended,publish,Active,,,2024-10-31 19:28:07
R0349,2024,ED2024ES,F0871,PA0166,2,,firm recommended,Draft,Archive,,,2024-09-04 00:32:32
R0112,2024,ED2024US,F0092,PA0666,0,,firm to watch,Pending,Researching,,Noted for complex transactions,2024-11-05 09:24:52
V0648,2024,ED2024UK,F0041,PA0630,,0,firm to watch,draft,Active,premium,Leading practice in its field,2024-10-15 21:33:32
V0747,2025,ED2025CA,F0653,PA0720,,3,firm recommended,pending,Archive,standard,Noted for complex transactions,2024-12-19 17:42:30
R0073,2025,ED2025IE,F0362,PA0327,3,,firm recommended,Pending,Active,,,2024-11-25 20:19:34
V0982,2025,ED2025CA,F0722,PA0456,,3,firm recommended,publish,Active,premium,Noted for complex transactions,2024-09-02 15:49:21
V0506,2025,ED2025SE,F0174,PA0374,,4,firm recommended,pending,Active,sponsored,Leading practice in its field,2024-11-10 01:23:13
V0549,2025,ED2025CA,F0164,PA0855,,1,firm recommended,publish,Active,sponsored,,2024-09-08 11:21:56
V0837,2024,ED2024IE,0,PA0570,,5,firm recommended,publish,Active,standard,Highly regarded team,2024-11-03 23:23:10
V0750,2024,ED2024FR,F0835,PA0741,,1,firm recommended,publish,Active,premium,Leading practice in its field,2024-08-15 06:32:31
R0495,2025,ED2025FR,F0565,PA0161,3,,firm to watch,Draft,Active,,,2024-09-05 00:19:47
R0285,2025,ED2025UAE,F0990,PA0827,4,,firm recommended,Publish,Active,,,2024-09-10 15:26:23
V0980,2025,ED2025UK,F0924,PA0785,,2,firm recommended,publish,Archive,sponsored,,2024-12-20 20:56:07
R0154,2025,ED2025ES,F0112,PA0698,1,,firm recommended,Publish,Active,,,2024-09-12 15:18:57
R0335,2024,ED2024AU,F0620,PA0409,5,,firm recommended,Draft,Active,,Highly regarded team,2024-08-01 23:32:22
V0853,2024,ED2024DE,F0093,PA0292,,0,firm recommended,publish,Archive,,,2024-11-30 10:20:05
R0212,2025,ED2025CA,F0723,PA0637,3,,firm recommended,Publish,Active,,Noted for complex transactions,2024-11-10 04:00:44
R0414,2025,ED2025DE,F0331,PA0012,3,,firm recommended,Pending,Researching,,Noted for complex transactions,2024-09-06 10:58:13
V0602,2025,ED2025FR,F0951,PA0507,,2,firm to watch,publish,Active,sponsored,,2024-11-08 05:59:03
R0083,2024,ED2024HK,F0411,PA0634,1,,firm recommended,Pending,Active,,Leading practice in its field,2025-01-06 13:26:23
R0284,2024,ED2024AU,F0270,PA0578,1,,firm recommended,Pending,Researching,,Noted for complex transactions,2024-10-04 02:39:28
R0180,2025,ED2025IE,F0639,PA0705,1,,firm recommended,Publish,Active,,,2024-11-26 05:52:06
R0478,2025,ED2025SE,F0069,PA0188,3,,firm recommended,Pending,Archive,,Highly regarded team,2024-12-11 05:15:00
V0576,2024,ED2024ES,F0085,PA0252,,3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-10-28 06:59:28
R0005,2025,ED2025US,F0657,PA0685,5,,firm recommended,Pending,Researching,,Noted for complex transactions,2024-09-23 03:39:00
R0239,2025,ED2025FR,F0122,PA0345,5,,firm to watch,Publish,Active,,Leading practice in its field,2024-12-19 05:36:02
V0823,2024,ED2024US,F0135,PA0659,,4,firm to watch,publish,Active,standard,,2025-01-03 05:03:51
V0962,2024,ED2024BE,F0130,PA0865,,4,firm recommended,publish,Archive,standard,,2024-12-16 22:16:07
R0106,2024,ED2024UK,F0919,PA0470,5,,firm recommended,Pending,Active,,Noted for complex transactions,2024-08-23 01:26:47
V0566,2025,ED2025UAE,F0554,PA0648,,4,firm recommended,draft,Researching,vip,Highly regarded team,2025-01-06 12:02:20
V0928,2025,ED2025SE,F0293,PA0789,,3,firm recommended,pending,Researching,,,2024-12-11 11:09:08
V0625,2025,ED2025ES,F0130,PA0825,,1,firm recommended,publish,Archive,sponsored,Highly regarded team,2024-09-27 22:50:28
V0843,2025,ED2025ES,F0358,PA0701,,1,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-12-08 14:03:59
V0876,2024,ED2024UAE,F0323,PA0256,,3,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-12-31 07:50:16
V0891,2024,ED2024CA,F0731,PA0121,,2,firm recommended,Publish,Active,,Noted for complex transactions,2024-08-22 20:15:19
R0397,2025,ED2025IE,F0028,PA0141,4,,firm to watch,Draft,Active,,,2025-01-09 23:27:16
V0847,2024,ED2024AU,F0059,PA0627,,4,firm to watch,publish,Researching,,Highly regarded team,2024-10-31 06:48:32
V0937,2025,ED2025NL,F0896,PA0552,,4,firm to watch,publish,Researching,,Noted for complex transactions,2024-11-22 20:28:35
R0096,2025,ED2025CA,F0086,PA0699,2,,firm recommended,Pending,Active,,,2024-11-29 12:16:10
R0305,2025,ED2025UK,F0160,PA0551,3,,firm to watch,Pending,Researching,,Leading practice in its field,2024-10-07 08:46:17
R0499,2024,ED2024FR,F0981,PA0219,2,,firm recommended,Draft,Active,,,2024-11-22 07:04:01
R0307,2025,ED2025FR,F0268,PA0033,5,,firm recommended,Publish,Active,,Leading practice in its field,2024-11-01 06:38:17
R0020,2025,ED2025ES,F0489,PA0607,1,,firm recommended,Publish,Active,,Noted for complex transactions,2024-12-06 16:27:55
V0589,2024,ED2024BE,F0150,PA0684,,1,firm recommended,publish,Archive,standard,Noted for complex transactions,2024-11-01 18:11:21
V0828,2024,ED2024IE,F0755,PA0137,,1,firm recommended,publish,Researching,premium,,2024-11-26 18:51:50
R0113,2025,ED2025US,F0516,PA0596,4,,firm recommended,Publish,Researching,,Noted for complex transactions,2024-09-11 03:23:27
V0784,2024,ED2024SG,F0195,PA0224,,2,firm to watch,publish,Active,sponsored,,2024-09-29 15:10:53
V0669,2024,ED2024AU,F0079,PA0160,,4,firm to watch,publish,Researching,standard,Leading practice in its field,2024-09-16 12:23:25
V0794,2025,ED2025JP,F0415,PA0584,,1,firm recommended,pending,Active,premium,Noted for complex transactions,2024-08-15 03:03:17
R0209,2024,ED2024AU,F0322,PA0359,3,,firm to watch,Pending,Active,,,2024-08-26 04:31:17
R0012,2024,ED2024FR,F0679,PA0840,1,,firm recommended,Publish,Archive,,Noted for complex transactions,2024-09-28 04:44:46
R0017,2024,ED2024JP,F0372,PA0342,4,,firm recommended,Publish,Active,,,2024-09-23 03:17:11
R0170,2024,ED2024SG,F0298,PA0225,1,,firm to watch,Pending,Researching,,Highly regarded team,2025-01-05 14:50:18
V0677,2025,ED2025DE,F0507,PA0567,,5,firm recommended,Publish,Active,sponsored,Leading practice in its field,2024-08-24 06:05:22
V0556,2025,ED2025SG,F0078,PA0287,,2,firm recommended,Publish,Active,standard,,2024-08-24 07:35:49
V0695,2025,ED2025US,F0145,PA0291,,2,firm recommended,Publish,Active,standard,Noted for complex transactions,2024-10-31 21:25:48
R0178,2024,ED2024BE,F0125,PA0759,3,,firm recommended,Publish,Active,,Noted for complex transactions,2024-12-15 05:33:56
V0639,2024,ED2024BE,F0445,PA0495,,2,firm to watch,pending,Archive,sponsored,,2024-11-05 20:55:23
V0694,2024,ED2024AU,0,PA0475,,1,firm recommended,publish,Active,standard,Highly regarded team,2024-12-24 07:26:38
V0562,2025,ED2025AU,F0091,PA0613,,2,firm to watch,publish,Active,premium,Noted for complex transactions,2024-10-12 11:33:08
V0783,2024,ED2024SG,F0225,PA0769,,2,firm to watch,publish,Active,sponsored,Leading practice in its field,2024-08-26 16:49:29
V0606,2025,ED2025UAE,F0951,PA0566,,2,firm recommended,publish,Researching,standard,,2024-11-16 12:28:36
R0453,2025,ED2025JP,F0318,PA0552,3,,firm recommended,Pending,Archive,,,2024-11-19 15:43:40
R0457,2025,ED2025IE,F0391,PA0714,2,,firm to watch,Draft,Active,,Highly regarded team,2024-08-19 14:45:19
R0230,2024,ED2024JP,F0391,PA0781,5,,firm recommended,Pending,Active,,Noted for complex transactions,2024-09-13 14:37:24
V0683,2025,ED2025AU,F0103,PA0414,,4,firm recommended,publish,Active,,,2024-08-19 05:15:35
V0594,2024,ED2024IE,F0379,PA0285,,2,firm recommended,draft,Researching,sponsored,Leading practice in its field,2024-09-28 22:23:52
V0568,2024,ED2024HK,F0701,PA0727,,4,firm recommended,draft,Active,sponsored,Highly regarded team,2024-12-21 02:41:24
R0431,2025,ED2025BE,F0927,PA0258,3,,firm recommended,Publish,Active,,Highly regarded team,2024-10-09 06:09:43
V0820,2025,ED2025CA,F0555,PA0648,,2,firm recommended,draft,Researching,sponsored,Noted for complex transactions,2025-01-02 16:26:11
V0915,2024,ED2024FR,F0801,PA0519,,4,firm recommended,draft,Active,premium,Highly regarded team,2024-09-17 09:12:33
V0608,2025,ED2025IE,F0128,PA0098,,2,firm recommended,publish,Researching,premium,,2024-10-29 05:27:21
V0560,2025,ED2025HK,F0737,PA0491,,1,firm recommended,publish,Active,sponsored,,2024-09-06 12:28:07
V0953,2024,ED2024SG,F0398,PA0622,,2,firm recommended,publish,Active,premium,Noted for complex transactions,2024-11-13 20:16:56
R0238,2024,ED2024HK,F0075,PA0136,3,,firm recommended,Draft,Active,,Noted for complex transactions,2024-10-22 00:20:02
V0850,2024,ED2024SE,F0043,PA0124,,3,firm recommended,publish,Researching,premium,Noted for complex transactions,2024-12-19 09:25:16
V0688,2025,ED2025SG,F0933,PA0593,,2,firm recommended,publish,Researching,standard,Highly regarded team,2024-12-16 06:24:47
R0072,2024,ED2024BE,F0116,PA0592,2,,firm recommended,Draft,Archive,,,2024-08-18 13:30:49
V0987,2024,ED2024BE,F0475,PA0610,,3,firm_recommended,publish,Active,sponsored,,2024-12-04 00:51:12
V0681,2024,ED2024UAE,F0372,PA0117,,1,firm recommended,draft,Active,sponsored,,2024-10-01 19:26:24
V0701,2025,ED2025UAE,F0002,PA0493,,1,firm recommended,draft,Active,sponsored,Leading practice in its field,2024-12-18 23:32:52
V0866,2024,ED2024ES,F0103,PA0461,,TIER_3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-11-04 08:49:53
V0559,2025,ED2025UK,F0443,PA0851,,2,firm recommended,Publish,Researching,standard,Leading practice in its field,2024-11-20 23:53:58
R0234,2024,ED2024ES,F0937,PA0371,3,,firm recommended,Draft,Active,,,2024-12-31 16:26:34
V0673,2025,ED2025UK,F0874,PA0399,,4,firm recommended,publish,Researching,,Highly regarded team,2024-09-11 05:40:09
V0916,2025,ED2025SE,F0803,PA0134,,4,firm recommended,publish,Active,,Highly regarded team,2024-10-05 08:14:16
R0145,2025,ED2025JP,F0685,PA0126,3,,firm recommended,Draft,Archive,,Leading practice in its field,2024-12-07 09:44:12
V0866,2024,ED2024ES,F0103,PA0461,,TIER_3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-11-03 22:49:53
V0987,2024,ED2024BE,F0475,PA0610,,3,firm_recommended,publish,Active,sponsored,,2024-12-04 11:51:12
V0537,2025,ED2025ES,F0255,PA0810,,2,firm recommended,publish,Active,standard,,2024-09-27 21:36:20
V0513,2024,ED2024BE,F0160,PA0597,,3,firm to watch,draft,Researching,,,2024-12-01 12:41:12
R0013,2024,ED2024ES,F0606,PA0368,2,,firm recommended,Pending,Active,,Highly regarded team,2024-08-15 10:32:28
R0376,2024,ED2024NL,F0702,PA0308,5,,firm recommended,Publish,Active,,Highly regarded team,2024-10-02 20:51:22
V0607,2025,ED2025IE,F0209,PA0555,,3,firm to watch,publish,Archive,standard,Leading practice in its field,2024-11-19 22:10:21
R0301,2024,ED2024HK,F0191,PA0326,3,,firm to watch,Publish,Active,,Leading practice in its field,2025-01-01 03:46:45
V0819,2025,ED2025ES,F0812,PA0773,,2,firm recommended,publish,Researching,sponsored,Noted for complex transactions,2024-09-02 18:01:31
R0437,2025,ED2025CA,F0716,PA0651,2,,firm recommended,Pending,Researching,,Highly regarded team,2024-11-17 10:41:42
V0966,2024,ED2024US,F0430,PA0075,,2,firm to watch,publish,Active,sponsored,Leading practice in its field,2024-08-02 05:06:47
R0075,2024,ED2024ES,F0720,PA0090,2,,firm recommended,Pending,Active,,,2024-10-10 08:53:56
V0767,2025,ED2025SE,F0666,PA0250,,5,firm recommended,Publish,Researching,standard,Leading practice in its field,2025-01-06 23:45:31
V0948,2025,ED2025UK,F0837,PA0836,,2,firm recommended,draft,Active,,,2024-10-25 11:03:37
V0604,2024,ED2024UK,F0285,PA0111,,3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-12-23 06:44:19
V0756,2025,ED2025DE,F0586,PA0112,,3,firm to watch,publish,Archive,,Noted for complex transactions,2024-12-27 04:04:47
R0428,2024,ED2024NL,F0073,PA0773,5,,firm recommended,Draft,Researching,,Leading practice in its field,2024-08-08 22:56:29
R0297,2024,ED2024SE,F0928,PA0601,3,,firm recommended,Draft,Active,,,2024-12-08 00:46:21
V0770,2024,ED2024SG,F0946,PA0850,,1,firm recommended,publish,Researching,,,2024-08-20 01:53:28
R0263,2025,ED2025BE,F0881,PA0736,1,,firm to watch,Draft,Active,,,2024-10-04 08:54:42
R0016,2024,ED2024SG,F0988,PA0619,2,,firm recommended,Pending,Active,,Leading practice in its field,2024-12-11 19:34:27
R0097,2024,ED2024HK,F0159,PA0108,2,,firm recommended,Publish,Active,,Highly regarded team,2024-08-15 04:06:19
V0941,2024,ED2024NL,,PA0837,,1,firm to watch,publish,Active,premium,,2024-09-03 11:27:13
R0467,2025,ED2025SE,F0776,PA0560,3,,firm recommended,Publish,Active,,Highly regarded team,2024-10-26 23:23:11
R0196,2024,ED2024FR,F9730,PA0144,5,,firm recommended,Pending,Researching,,Leading practice in its field,2024-11-19 08:26:48
V0523,2025,ED2025SG,F0902,PA0473,,2,firm recommended,draft,Active,,,2024-10-30 00:38:37
R0461,2024,ED2024NL,F0549,PA0224,5,,firm recommended,Draft,Active,,Highly regarded team,2024-11-25 10:53:23
V0851,2025,ED2025IE,F0955,PA0255,,1,firm recommended,publish,Active,premium,Highly regarded team,2024-08-08 04:32:23
R0060,2024,ED2024CA,F0924,PA0491,1,,firm recommended,Publish,Active,,Highly regarded team,2025-01-06 08:57:43
R0422,2024,ED2024SG,F0286,PA0051,5,,firm to watch,Pending,Archive,,Highly regarded team,2024-10-15 16:28:15
R0159,2024,ED2024JP,F0609,PA0361,5,,firm recommended,Draft,Active,,,2024-09-18 01:28:55
V0551,2024,ED2024HK,F0205,PA0778,,3,firm recommended,draft,Active,premium,,2024-11-24 04:47:00
R0358,2024,ED2024UK,F0152,PA0535,2,,firm recommended,Draft,Researching,,Leading practice in its field,2024-11-18 10:17:02
V0718,2024,ED2024IE,F0247,PA0052,,3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-09-16 21:26:49
R0351,2024,ED2024FR,F0997,PA0473,3,,firm recommended,Publish,Active,,,2024-08-31 22:14:09
R0324,2024,ED2024HK,F0619,PA0827,4,,firm recommended,Draft,Researching,,Noted for complex transactions,2024-12-30 15:44:24
V0768,2024,ED2024SG,F0146,PA0712,,3,firm recommended,draft,Researching,standard,Highly regarded team,2024-11-15 15:42:02
R0327,2025,ED2025US,F0472,PA0376,1,,firm recommended,Draft,Active,,Leading practice in its field,2024-09-18 23:55:41
V0881,2025,ED2025UAE,F0597,PA0583,,5,firm to watch,publish,Researching,,Leading practice in its field,2025-01-04 16:57:18
V0644,2025,ED2025SE,F0603,PA0220,,2,firm to watch,publish,Active,sponsored,,2024-09-17 05:33:40
R0216,2025,ED2025UK,F0033,PA0555,4,,firm to watch,Draft,Researching,,Noted for complex transactions,2025-01-08 19:29:38
V0646,2024,ED2024NL,F0957,PA0813,,4,firm recommended,publish,Active,standard,Leading practice in its field,2024-08-01 09:43:38
V0774,2024,ED2024ES,F0077,PA0084,,3,firm to watch,pending,Researching,sponsored,,2025-01-07 22:04:13
V0536,2024,ED2024UAE,F0844,PA0831,,3,firm to watch,publish,Researching,standard,,2024-09-27 09:41:13
R0433,2025,ED2025UAE,F0044,PA0617,1,,firm to watch,Publish,Active,,,2024-11-20 18:36:33
V0734,2025,ED2025DE,F0634,PA0695,,2,firm recommended,publish,Active,sponsored,Highly regarded team,2024-10-19 03:44:44
V0790,2024,ED2024SG,,PA0235,,3,firm recommended,draft,Active,standard,Highly regarded team,2024-11-04 16:44:09
R0460,2024,ED2024ES,F0005,PA0335,2,,firm recommended,Publish,Active,,Noted for complex transactions,2024-08-14 11:22:38
R0357,2025,ED2025IE,F0351,PA0303,3,,firm recommended,Draft,Active,,Noted for complex transactions,2024-12-14 20:11:37
V0629,2025,ED2025AU,F0055,PA0359,,2,firm recommended,publish,Active,,Noted for complex transactions,2024-08-16 04:04:54
R0236,2025,ED2025US,F0432,PA0518,5,,firm recommended,Draft,Active,,,2024-09-04 22:28:04
V0723,2024,ED2024US,F0493,PA0825,,1,firm recommended,draft,Researching,sponsored,Noted for complex transactions,2024-08-12 02:47:34
V0660,2025,ED2025AU,,PA0542,,5,firm recommended,draft,Researching,premium,,2024-10-24 10:57:23
V0965,2025,ED2025US,F0533,PA0668,,5,firm to watch,publish,Researching,premium,,2024-09-01 05:55:52
R0432,2025,ED2025FR,F0227,PA0606,2,,firm recommended,Pending,Researching,,Highly regarded team,2024-11-17 20:54:54
R0225,2025,ED2025UK,F0999,PA0264,0,,firm to watch,Pending,Active,,,2024-11-13 22:38:21
V0676,2024,ED2024HK,F0993,PA0323,,4,firm recommended,publish,Researching,standard,Noted for complex transactions,2024-11-24 11:15:46
V0857,2025,ED2025DE,F0196,PA0435,,5,firm recommended,publish,Archive,sponsored,,2024-10-15 05:16:09
V0514,2024,ED2024UAE,F0058,PA0722,,1,firm to watch,publish,Archive,standard,,2024-09-06 00:50:28
V0666,2025,ED2025FR,,PA0119,,4,firm to watch,publish,Active,,,2024-11-17 21:18:22
V0951,2025,ED2025US,F0629,PA0838,,5,firm recommended,publish,Active,,Noted for complex transactions,2024-08-09 03:32:12
R0119,2025,ED2025BE,F0858,PA0567,1,,firm recommended,Publish,Active,,Noted for complex transactions,2024-08-19 02:38:53
R0248,2024,ED2024HK,F0456,PA0443,3,,firm recommended,Pending,Researching,,Leading practice in its field,2024-09-24 01:41:09
V0905,2025,ED2025US,,PA0424,,3,firm to watch,publish,Archive,premium,Highly regarded team,2024-10-03 09:21:29
V0632,2025,ED2025NL,F0637,PA0335,,2,firm recommended,draft,Active,standard,Noted for complex transactions,2024-10-25 03:04:55
R0085,2025,ED2025CA,F0029,PA0246,2,,firm recommended,Pending,Active,,Leading practice in its field,2024-09-11 03:34:18
V0773,2024,ED2024NL,F0002,PA0007,,3,firm recommended,publish,Active,,Highly regarded team,2024-10-15 14:12:20
R0111,2024,ED2024DE,F0556,PA0447,2,,firm to watch,Draft,Researching,,,2024-12-02 03:09:14
R0500,2025,ED2025AU,F0104,PA0822,3,,firm to watch,Draft,Active,,Noted for complex transactions,2024-09-01 16:49:53
R0268,2025,ED2025BE,F9563,PA0332,2,,firm recommended,Draft,Active,,Leading practice in its field,2024-09-23 05:09:51
V0892,2024,ED2024JP,F0182,PA0500,,2,firm to watch,publish,Active,premium,Highly regarded team,2024-10-04 17:19:22
V0766,2024,ED2024SE,F0658,PA0453,,1,firm recommended,publish,Active,premium,Noted for complex transactions,2024-11-09 23:20:47
V0903,2025,ED2025SG,F0866,PA0065,,2,firm recommended,publish,Researching,standard,Noted for complex transactions,2024-12-28 23:38:39
V0613,2025,ED2025SG,F0984,PA0025,,3,firm recommended,publish,Active,standard,Noted for complex transactions,2024-10-27 19:37:05
V0519,2025,ED2025BE,F0754,PA0247,,3,firm recommended,draft,Active,exclusive,,2024-09-24 15:38:52
R0291,2024,ED2024SE,F0392,PA0384,1,,firm recommended,Draft,Active,,,2024-09-08 00:39:44
V0797,2025,ED2025JP,F0999,PA0737,,3,firm recommended,publish,Researching,sponsored,Leading practice in its field,2024-12-04 21:37:34
R0237,2025,ED2025SG,0,PA0568,3,,firm recommended,Publish,Researching,,,2024-08-25 13:03:25
R0207,2025,ED2025SE,F0361,PA0199,2,,firm to watch,Publish,Active,,,2024-09-15 01:21:14
R0318,2025,ED2025UAE,F0547,PA0074,2,,firm recommended,Pending,Active,,,2024-09-13 01:10:08
R0221,2024,ED2024IE,F0128,PA0315,3,,firm recommended,Draft,Active,,Highly regarded team,2024-09-04 17:11:44
R0367,2024,ED2024HK,F0234,PA0707,3,,firm recommended,Draft,Active,,,2024-11-16 04:23:34
R0385,2024,ED2024AU,F9862,PA0091,2,,firm recommended,Pending,Researching,,,2024-11-17 02:17:27
V0969,2024,ED2024UK,F0205,PA0045,,1,firm recommended,publish,Active,,Highly regarded team,2024-11-24 06:36:08
V0503,2025,ED2025UAE,F0954,PA0452,,3,firm recommended,Publish,Active,standard,Leading practice in its field,2024-11-04 11:48:01
V0958,2025,ED2025US,F0499,PA0468,,2,firm recommended,publish,Researching,premium,,2024-11-03 19:32:21
R0485,2025,ED2025UAE,F0571,PA0165,1,,firm to watch,Pending,Active,,Noted for complex transactions,2024-08-22 15:00:08
V0691,2024,ED2024AU,F0589,PA0003,,3,firm recommended,publish,Active,standard,,2024-10-20 06:22:40
R0077,2025,ED2025SE,F0249,PA0216,4,,firm recommended,Pending,Researching,,Highly regarded team,2024-08-23 18:21:30
R0046,2024,ED2024IE,F0340,PA0370,4,,firm recommended,Pending,Active,,Noted for complex transactions,2024-09-16 06:20:08
V0868,2024,ED2024HK,F0475,PA0087,,1,firm recommended,Draft,Active,,,2024-08-20 17:47:59
V0919,2025,ED2025AU,F0138,PA0783,,2,firm recommended,publish,Active,standard,,2024-08-21 03:04:24
R0070,2025,ED2025SE,F0640,PA0838,2,,firm to watch,Pending,Active,,Leading practice in its field,2024-11-05 22:40:38
V0933,2025,ED2025SE,F0013,PA0037,,4,firm to watch,publish,Researching,standard,Highly regarded team,2024-11-08 22:41:10
R0451,2025,ED2025UK,F0573,PA0666,1,,firm recommended,Pending,Active,,Leading practice in its field,2024-08-13 09:13:17
V0687,2024,ED2024UAE,F0505,PA0561,,2,firm recommended,Publish,Active,,,2024-09-07 08:59:00
V0936,2024,ED2024NL,F0016,PA0658,,3,firm recommended,publish,Active,sponsored,Noted for complex transactions,2024-09-16 18:47:06
R0473,2024,ED2024JP,F0047,PA0391,1,,firm recommended,Publish,Researching,,Leading practice in its field,2024-08-01 22:05:03
R0008,2024,ED2024HK,F0772,PA0772,1,,firm recommended,Pending,Researching,,,2024-09-05 01:57:21
R0342,2025,ED2025FR,F0944,PA0551,1,,firm recommended,Draft,Active,,,2024-08-19 19:57:31
V0949,2025,ED2025SG,,PA0685,,2,firm recommended,pending,Active,standard,Leading practice in its field,2024-08-03 12:46:46
V0733,2024,ED2024ES,F0388,PA0736,,4,firm recommended,Draft,Active,standard,,2024-10-17 14:46:39
V0932,2025,ED2025UK,F0624,PA0812,,5,firm recommended,publish,Active,premium,,2024-09-21 19:12:59
V0840,2024,ED2024DE,F0340,PA0253,,3,firm recommended,publish,Active,,Leading practice in its field,2024-12-18 13:41:09
R0010,2024,ED2024BE,F0087,PA0128,3,,firm recommended,Pending,Active,,Leading practice in its field,2024-10-22 03:33:43
R0071,2024,ED2024IE,F0808,PA0003,4,,firm to watch,Publish,Active,,Highly regarded team,2024-10-02 04:30:04
V0888,2024,ED2024NL,F0849,PA0863,,1,firm recommended,publish,Active,standard,,2024-09-28 04:01:50
R0001,2025,ED2025SG,F0696,PA0862,1,,firm recommended,Publish,Archive,,,2024-11-01 00:25:15
V0870,2024,ED2024US,F0026,PA0018,,3,firm recommended,publish,Active,sponsored,Leading practice in its field,2024-10-26 18:19:52
R0245,2024,ED2024FR,F0296,PA0266,5,,firm recommended,Draft,Active,,,2024-12-08 09:48:20
V0765,2024,ED2024SG,F0418,PA0638,,3,firm to watch,publish,Active,,Highly regarded team,2024-08-31 02:21:22
V0751,2024,ED2024SG,F0095,PA0262,,5,firm recommended,publish,Active,sponsored,,2024-08-26 06:05:18
V0570,2024,ED2024HK,F0915,PA0813,,5,firm recommended,pending,Researching,,Leading practice in its field,2024-08-29 00:44:44
R0184,2025,ED2025NL,0,PA0297,3,,firm to watch,Pending,Active,,Highly regarded team,2024-10-11 07:55:32
R0255,2025,ED2025NL,F0613,PA0366,3,,firm recommended,Draft,Active,,Highly regarded team,2024-08-22 19:40:12
R0281,2024,ED2024HK,F0551,PA0470,2,,firm recommended,Publish,Active,,Noted for complex transactions,2024-11-24 10:21:30
V0615,2025,ED2025CA,F0491,PA0162,,1,firm to watch,pending,Active,premium,,2024-08-08 01:08:20
R0165,2024,ED2024SE,F0272,PA0696,2,,firm recommended,Draft,Active,,Noted for complex transactions,2024-09-23 15:24:17
V0978,2024,ED2024SG,F0554,PA0049,,2,firm recommended,publish,Active,,Highly regarded team,2024-09-23 17:30:59
V0555,2024,ED2024AU,F0311,PA0456,,2,firm recommended,publish,Active,premium,,2024-08-19 21:08:13
R0304,2025,ED2025AU,F0715,PA0451,2,,firm recommended,Pending,Active,,,2024-10-07 17:48:06
V0946,2025,ED2025IE,F0283,PA0432,,4,firm recommended,publish,Active,premium,Noted for complex transactions,2024-09-07 20:42:25
V0859,2025,ED2025US,F0629,PA0166,,2,firm recommended,publish,Researching,sponsored,Highly regarded team,2024-08-12 17:03:36
R0296,2024,ED2024CA,F0879,PA0558,2,,firm to watch,Pending,Researching,,Leading practice in its field,2024-10-04 14:19:52
V0600,2025,ED2025FR,F0188,PA0664,,4,firm recommended,publish,Archive,,Highly regarded team,2024-11-03 01:12:12
V0861,2025,ED2025CA,F0268,PA0163,,4,firm recommended,publish,Researching,featured,,2024-09-13 01:50:05
V0623,2024,ED2024IE,F0069,PA0387,,1,firm recommended,draft,Active,,Highly regarded team,2024-12-10 13:29:50
